,À partir de,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Immeuble de rapport,Adresse,Site internet,Année de construction,Largeur de la façade à rue,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Toilettes,Buanderie,Bureau,Espace professionnel,Surface du grenier,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Revenu cadastral,Visite virtuelle,Attestation as-built,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Disponible le,Largeur du terrain à rue,Orientation du jardin,Quartier ou lieu-dit,Terrasse,Type d’environnement,Revenu mensuel actuel,Surface de la cave,Attestation de conformité des citernes à mazout,Nom du bien,Surface de la chambre 5,Jardin,Salon,Salle à manger,Combien de feux ouverts ?,Salles de douche,Cave,Grenier,Orientation de la terrasse,Surface constructible totale au sol,Charges mensuelles,Surface de bureau,Obligation de construire,Surface de l'espace professionnel,Nombre d'annexes,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Référence externe,Isolé,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
0,À la livraison,Excellent état,3,1,1,177 m²,3,2,594 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,556.148 €,Non,"Kerkstraat, 38
1755 - Oetingen",4499488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,Excellent état,3,1,1,166 m²,3,2,631 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,573.641 €,Non,"Kerkstraat, 38
1755 - Oetingen",4499486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,Excellent état,4,1,3,320 m²,4,2,650 m²,122 kWh/m²,B,0002446071,Non communiqué,Non communiqué,775.000 €,Non,,,2009,12 m,45 m²,Américaine hyper-équipée,15 m²,17 m²,16 m²,16 m²,16 m²,Oui,2,Oui,Non,Non,65 m²,Non,Non,Oui,Non,Non,Oui,Connecté,Oui,1 m²,60 m²,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Gaz,Non,Non,Non,Non,Oui,Oui,Villa,Oui,Non,2.501 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,,,1,3,3,1,2,370 kWh/m²,D,20210813-0002451278,Non communiqué,Non communiqué,Non,1.276 €,"Leuvensesteenweg 417
3070 - Kortenberg",4073 - VK 643 WS,,1979,8 m,,,,,,,,,Non,,,,,301 m²,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Oui,,Oui,Non,Non,147 m²,Gaz,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,Excellent état,4,1,3,320 m²,4,2,650 m²,122 kWh/m²,B,0002446071,Non communiqué,Non communiqué,775.000 €,Non,"Leuvensesteenweg 417
3070 - Kortenberg",4162 - VK 652 WS,2009,12 m,50 m²,Américaine équipée,,16 m²,16 m²,16 m²,16 m²,,2,,,,,Non,,,,,,,,250 m²,30 m²,,,,,Oui,,,,,,,Gaz,,,,,Oui,Oui,,Oui,Oui,,,"Oui, conforme",Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",31 décembre 2021 - 00:00,20 m,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,Bon,3,,,250 m²,6,1,567 m²,391 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,499.000 €,Oui,"Leuvensesteenweg 587
3071 - Erps-Kwerps",4529808,,,,,,,,,,,3,,,,,Non,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,Oui,,Non,Oui,,,,Non,,,,,,Kortenberg,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,À définir,Excellent état,2,,,265 m²,4,1,331 m²,282 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,495.000 €,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",4453693,,,,,,,,,,,,,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,Oui,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,Bon,4,,,180 m²,4,1,5704 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,635.000 €,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",4408825,1980,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Selon le locataire,Bon,2,4,2,,10,6,549 m²,378 kWh/m²,D,20130531-0001380934-00000007-2,Non communiqué,Non communiqué,1.200.000 €,Oui,,,2000,,,,,,,,,Non,,,Non,Non,,Non,Non,Oui,Non,Non,Non,,Non,1 m²,,,,,,,,,,,,,Électrique,Non,Non,Non,Non,Oui,,Toutes sortes,,,,,,,,,,,Sud,,,"Zone d'habitat (résidentiel, urbain ou rural)",4110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,À définir,Excellent état,2,1,2,,4,1,202 m²,Non communiqué,Non communiqué,Non communiqué,128 kg CO₂/m²,Non communiqué,427.000 €,Non,,,2008,,,Équipée,,78 m²,78 m²,65 m²,37 m²,Oui,2,,Non,Non,,Non,Non,Non,Non,Non,Non,Connecté,Oui,30 m²,24 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Gaz,Non,Non,Non,Non,Oui,Oui,,,,887 €,,,,Zone non inondable,,,,,,,,,78 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,À la livraison,,4,,1,138 m²,3,1,324 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,498.000 €,Non,"Leuvensesteenweg 417
3070 - Kortenberg",4248 - 7134858,,,40 m²,,,,,,,,2,,,,,Non,,,,,,,,140 m²,25 m²,,,,,,,,,,,,,,,,,,,,Oui,Non,,,"Oui, conforme",,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,14.5 m,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,4,,1,217 m²,4,1,304 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,484.500 €,Non,"Leuvensesteenweg 417
3070 - Kortenberg",3160 - VK 501 WS,,,57 m²,,23 m²,27 m²,25 m²,21 m²,16 m²,,2,,,,,Non,,,,,,,,,22 m²,,,,,,,,,,,,,,,,,,Oui,,Oui,Non,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,13.72 m,Sud,,,,,,,Lot 1 van de verkaveling Adelhof,15 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Bon,2,1,1,,4,2,650 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,470.000 €,Oui,,,,8 m,,Équipée,,,,,,Non,3,Oui,Oui,Oui,,Non,Non,Oui,Non,Oui,Oui,Connecté,Oui,420 m²,32 m²,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Gaz,Non,Non,Non,Non,Oui,,Toutes sortes,,,,,,,,,,8 m,Sud,,,Centre commercial,,,,,,,Oui,Oui,1,1,Oui,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,
13,,Excellent état,2,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,449.000 €,Oui,"Leuvensesteenweg 587
3071 - Erps-Kwerps",4372669,,,,,,,,,,,,,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,Kortenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,4,1,,394 m²,6,1,1142 m²,272 kWh/m²,C,20200904-0002311316-RES-1,Non communiqué,Non communiqué,659.000 €,Non,"Bergstraat 109
2220 - Heist-op-den-Berg",09/1633,1979,11 m,,,,,,,,,,,Non,,,Non,Non,,,,,Non connecté,Non,,,,,,,,,,,,,,,,,,,Non,Oui,Villa,Oui,Non,1.775 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,20.5 m,Nord-est,,Oui,,,60 m²,,,,Oui,,,,,,,,186 m²,,,,,,,,,,,,,,,,,,,,,
15,Après la signature de l’acte,Bon,2,1,,196 m²,3,2,320 m²,177 kWh/m²,B,20210825-0002455910-RES-1,Non communiqué,Non communiqué,349.000 €,Non,"Parklaan 8
1930 - Zaventem",POOT Davina,,,17 m²,Équipée,21 m²,24 m²,16 m²,12 m²,,,2,Oui,Oui,,,Non,,,,,Oui,,Oui,,20 m²,,,,,,,,,,,,Gaz,,,,,Oui,Oui,,Non,,515 €,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,Sud-ouest,Kortenberg Centrum,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Oui,,Oui,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,
16,Immédiatement,Excellent état,2,1,,145 m²,4,1,,96 kWh/m²,A,202107428-0002406957-RES-1,Non communiqué,Non communiqué,364.000 €,Non,"Parklaan 8
1930 - Zaventem",POOT Davina,2000,,32 m²,Américaine hyper-équipée,13 m²,20 m²,16 m²,13 m²,12 m²,Oui,2,Oui,Oui,,,Non,,,,,,,,,12 m²,,,,Oui,,,,,,,,Gaz,,,,,Oui,Oui,,,,1.115 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,3 m²,,KOETSIERSHOF,,,,Oui,,,,,Sud-est,,35 €,,,,,,,,,,,,,,,,,,,,
17,,À rénover,,,,182 m²,3,1,350 m²,486 kWh/m²,E,20210809-0002449435-RES-1,Non communiqué,Non communiqué,259.000 €,Non,"Leuvensesteenweg 359
3070 - Kortenberg",Eng 191 3071,1926,,,,,14 m²,12 m²,14 m²,,Non,,,Oui,,53 m²,,,Non,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,Gaz,,,,,Non,Oui,,Non,Oui,880 €,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,16 m²,,,,,Oui,Oui,,,,,,,,4 m²,Non,,,,,,,,,,,,,,,,,,
18,Selon le locataire,Bon,4,1,2,113 m²,2,1,800 m²,259 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,369.000 €,Non,"Mechelsesteenweg 231
1933 - Sterrebeek",4492433,1974,,33 m²,Américaine hyper-équipée,10 m²,8 m²,,,,,1,,,,,Non,,,,,,Connecté,Oui,,30 m²,,,,,,,,,,,,,,,,,Oui,Oui,,Non,Non,1.281 €,,,Non,Zone non inondable,Zone d'extension d'habitat,,,,,,Isolé,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
19,Après la signature de l’acte,À rénover,2,1,2,174 m²,3,1,514 m²,454 kWh/m²,E,20210417-0002402736-RES-1,Non communiqué,Non communiqué,299.000 €,Non,"Albert De Beusscherplein 2
1933 - Sterrebeek",4426694,1962,,36 m²,,6 m²,7 m²,9 m²,18 m²,,,1,,,,,,,,,,,,,,25 m²,,,,,,,,,,,,Gaz,,,,,Oui,,,Non,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,24 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,À rénover,,1,,251 m²,4,1,560 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,347.000 €,Non,"Leuvensesteenweg 359
3070 - Kortenberg",L 86 - 3070,1937,,31 m²,,10 m²,20 m²,15 m²,10 m²,16 m²,Non,,,Non,,52 m²,,,Non,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,,,,,,Non,Oui,,Non,Oui,855 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,Sud-est,,,,,19 m²,,,,Oui,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
21,,Bon,2,1,,220 m²,4,1,335 m²,282 kWh/m²,C,20210802-0002444150-RES-1,Non communiqué,Non communiqué,495.000 €,Non,"Brusselsesteenweg 527
3090 - Overijse",2199 - 1347,1984,,45 m²,Hyper équipée,,,,,,,2,,Oui,,,Non,,,,,,,,,30 m²,,,,,,,,,,,,Gaz,,,,,Oui,,,,,1.836 €,,Non,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
22,,À rafraîchir,,,,,5,3,860 m²,388 kWh/m²,D,20111229-0000999853-00000009-9,Non communiqué,Non communiqué,690.000 €,Non,"Tiensesteenweg 350
3000 - Leuven",Bosstraat 29 Kortenb,1963,,,,,,,,,Non,,,Oui,,,Non,,Non,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,,,,,,Non,,,,Oui,2.124 €,,,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",,,Sud,,Oui,,,,,,,Oui,Oui,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
23,Après la signature de l’acte,Bon,2,1,4,190 m²,4,2,470 m²,499 kWh/m²,E,2387264,Non communiqué,Non communiqué,495.000 €,Non,"Vogelenzangstraat 55
3070 - Kortenberg",4533157,1935,,31 m²,Équipée,10 m²,24 m²,11 m²,11 m²,15 m²,,4,,Oui,,,Non,,,,,,Connecté,Oui,200 m²,,,,,,,,,,,,,Mazout,,,,,Oui,,,Non,Oui,1.279 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,12.1 m,,,,,,,,,,,,Oui,,,Oui,Oui,,170 m²,,17 m²,,14 m²,,,,,,,,,,,,,,,,,
24,,Excellent état,3,1,,135 m²,3,1,8200 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,432.963 €,,"Sint-Markoenstraat 28
9032 - Wondelgem",Eef Tanghe,,,,Hyper équipée,,,,,,,2,Oui,Oui,,,Non,,,,,,Connecté,Oui,64 m²,,,,,,,,,,,,,,Oui,Oui,,,Oui,,,,,,,,,,,31 décembre 2022 - 00:00,,Sud-ouest,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Cohousing Negenhoek,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
25,,Excellent état,2,1,,150 m²,4,1,8200 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,463.860 €,,"Sint-Markoenstraat 28
9032 - Wondelgem",Eef Tanghe,,,,Hyper équipée,,,,,,,2,Oui,,,,Non,,,,,,Connecté,Oui,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,Sud-est,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Cohousing Negenhoek,,Oui,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
26,,Excellent état,2,1,,170 m²,4,2,8200 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,505.707 €,,"Sint-Markoenstraat 28
9032 - Wondelgem",Eef Tanghe,,,,Hyper équipée,,,,,,,2,Oui,,,,Non,,,,,,Connecté,Oui,58 m²,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,31 décembre 2022 - 00:00,,Sud-ouest,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Cohousing Negenhoek,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,
27,,Excellent état,3,1,,140 m²,4,1,8200 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,457.552 €,,"Sint-Markoenstraat 28
9032 - Wondelgem",Eef Tanghe,,,,Hyper équipée,,,,,,,2,,,,,Non,,,,,,Connecté,Oui,,,,,,,,,,,,,,,Oui,Oui,,,Oui,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Cohousing Negenhoek,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,,Excellent état,2,1,,170 m²,4,1,8200 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,506.447 €,,"Sint-Markoenstraat 28
9032 - Wondelgem",Eef Tanghe,,,,,,,,,,,2,Oui,Oui,,,,,,,,,Connecté,Oui,59 m²,,,,,,,,,,,,,,Oui,Oui,,,Oui,,,,,,,,,,,31 décembre 2022 - 00:00,,Sud-ouest,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Cohousing Negenhoek,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
